;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
0;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_112.pth;random;PD2;20;112;True;CIFAR10;94.11;accuracy
1;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_167.pth;random;PD2;20;167;True;CIFAR10;94.35;accuracy
2;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_23.pth;random;PD2;20;23;True;CIFAR10;94.22;accuracy
3;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_42.pth;random;PD2;20;42;True;CIFAR10;94.19;accuracy
4;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_97.pth;random;PD2;20;97;True;CIFAR10;94.28;accuracy
5;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_112.pth;random;PD2;20;112;False;CIFAR10;9.59;accuracy
6;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_167.pth;random;PD2;20;167;False;CIFAR10;10;accuracy
7;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_23.pth;random;PD2;20;23;False;CIFAR10;10;accuracy
8;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_42.pth;random;PD2;20;42;False;CIFAR10;7.32;accuracy
9;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_97.pth;random;PD2;20;97;False;CIFAR10;9.99;accuracy
10;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_112.pth;random;PD2;30;112;True;CIFAR10;93.44;accuracy
11;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_167.pth;random;PD2;30;167;True;CIFAR10;93.6;accuracy
12;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_23.pth;random;PD2;30;23;True;CIFAR10;93.71;accuracy
13;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_42.pth;random;PD2;30;42;True;CIFAR10;93.42;accuracy
14;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_97.pth;random;PD2;30;97;True;CIFAR10;93.86;accuracy
15;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_112.pth;random;PD2;30;112;False;CIFAR10;10;accuracy
